YYYYMMDD,Date,Short Positions,Long Positions,Total Positions,Daily PnL,Cumulative PnL,ROR,Market Value,Net Market Value,Sharpe
20100816,8/16/2010,-500,1000,1500,0,94520,0,145805,-101410,5.09282
20100817,8/17/2010,-500,1500,2000,0,94520,0,212330,-37185,5.07675
20100818,8/18/2010,-500,1000,1500,470,94990,0.00731802,148740,-101410,5.08581
20100819,8/19/2010,-1000,1000,2000,0,94990,0,211060,-165860,5.06996
20100820,8/20/2010,-1000,1000,2000,0,94990,0,210140,-165860,5.05425
20100823,8/23/2010,-1000,1000,2000,1215,96205,0.0188518,207625,-164645,5.09842
20100824,8/24/2010,-1000,1000,2000,0,96205,0,203640,-164645,5.08278
20100825,8/25/2010,-1000,500,1500,2580,98785,-0.0741202,196130,-171305,4.7185
20100826,8/26/2010,-500,1000,1500,1305,100090,0.0107456,82390,-40770,4.73859
20100827,8/27/2010,-500,500,1000,-715,99375,-0.052954,183175,58175,4.50497
20100830,8/30/2010,-1500,500,2000,935,100310,0.0149278,203750,38310,4.53724
20100831,8/31/2010,-1500,500,2000,740,101050,0.00612532,203685,39050,4.54341
20100901,9/1/2010,-1500,500,2000,0,101050,0,209070,39050,4.53018
20100902,9/2/2010,-1500,500,2000,4535,105585,0.0373097,209715,43585,4.61704
20100903,9/3/2010,-1500,500,2000,0,105585,0,214535,43585,4.6037
20100907,9/7/2010,-1500,500,2000,2820,108405,0.0223659,212920,46405,4.65506
20100908,9/8/2010,-1500,0,1500,2555,110960,0.0198208,83955,-82500,4.69958
20100909,9/9/2010,-2000,0,2000,0,110960,0,215720,-214035,4.68618
20100910,9/10/2010,-2000,0,2000,0,110960,0,216610,-214035,4.6729
20100913,9/13/2010,-2000,0,2000,0,110960,0,220160,-214035,4.65974
20100914,9/14/2010,-2000,0,2000,0,110960,0,220340,-214035,4.64668
20100915,9/15/2010,-2000,0,2000,0,110960,0,221745,-214035,4.63373
20100916,9/16/2010,-2000,0,2000,0,110960,0,225270,-214035,4.62089
20100917,9/17/2010,-2000,0,2000,0,110960,0,224795,-214035,4.60816
20100920,9/20/2010,-2000,0,2000,0,110960,0,229690,-214035,4.59553
20100921,9/21/2010,-500,0,500,5635,116595,0.199106,141885,-131535,4.63316
20100922,9/22/2010,-1500,0,1500,0,116595,0,219665,-207325,4.62058
20100923,9/23/2010,-1500,500,2000,0,116595,0,232000,-195110,4.6081
20100924,9/24/2010,-1500,500,2000,0,116595,0,235315,-195110,4.59572
20100927,9/27/2010,-1500,500,2000,150,116745,0.01228,234890,-194960,4.61582
20100928,9/28/2010,-1500,500,2000,0,116745,0,232970,-194960,4.60354
20100929,9/29/2010,-1500,500,2000,0,116745,0,233295,-194960,4.59136
20100930,9/30/2010,-1000,500,1500,10340,127085,0.0786103,88915,-63425,4.7202
